"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 1)","normal+(0, 5)",0.375
"normal(0, 1)","normal+(0, 10)",0.527777777777778
"normal(0, 1)","normal+(0, 20)",0.708333333333333
"normal(0, 1.5)","normal+(0, 5)",0.694444444444444
"normal(0, 1.5)","normal+(0, 10)",0.532407407407407
"normal(0, 1.5)","normal+(0, 20)",0.814814814814815
"normal(0, 2)","normal+(0, 5)",0.722222222222222
"normal(0, 2)","normal+(0, 10)",0.546296296296296
"normal(0, 2)","normal+(0, 20)",0.490740740740741
"normal(0, 1)","normal+(0, 5)",0.648148148148148
"normal(0, 1)","normal+(0, 10)",0.601851851851852
"normal(0, 1)","normal+(0, 20)",0.444444444444444
"normal(0, 1.5)","normal+(0, 5)",0.037037037037037
"normal(0, 1.5)","normal+(0, 10)",0.527777777777778
"normal(0, 1.5)","normal+(0, 20)",0.296296296296296
"normal(0, 2)","normal+(0, 5)",0.699074074074074
"normal(0, 2)","normal+(0, 10)",0.287037037037037
"normal(0, 2)","normal+(0, 20)",0.388888888888889
"normal(0, 1)","normal+(0, 5)",0.532407407407407
"normal(0, 1)","normal+(0, 10)",0.458333333333333
"normal(0, 1)","normal+(0, 20)",0.5
"normal(0, 1.5)","normal+(0, 5)",0.62962962962963
"normal(0, 1.5)","normal+(0, 10)",0.333333333333333
"normal(0, 1.5)","normal+(0, 20)",0.657407407407407
"normal(0, 2)","normal+(0, 5)",0.347222222222222
"normal(0, 2)","normal+(0, 10)",0.587962962962963
"normal(0, 2)","normal+(0, 20)",0.587962962962963
"normal(0, 1)","normal+(0, 5)",0.226851851851852
"normal(0, 1)","normal+(0, 10)",0.638888888888889
"normal(0, 1)","normal+(0, 20)",0.5
"normal(0, 1.5)","normal+(0, 5)",0.560185185185185
"normal(0, 1.5)","normal+(0, 10)",0.777777777777778
"normal(0, 1.5)","normal+(0, 20)",0.217592592592593
"normal(0, 2)","normal+(0, 5)",0.458333333333333
"normal(0, 2)","normal+(0, 10)",0.421296296296296
"normal(0, 2)","normal+(0, 20)",0.537037037037037
"normal(0, 1)","normal+(0, 5)",0.347222222222222
"normal(0, 1)","normal+(0, 10)",0.476851851851852
"normal(0, 1)","normal+(0, 20)",0.351851851851852
"normal(0, 1.5)","normal+(0, 5)",0.615740740740741
"normal(0, 1.5)","normal+(0, 10)",0.319444444444444
"normal(0, 1.5)","normal+(0, 20)",0.365740740740741
