"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 2)","normal+(0, 10)",0.490833333333333
"normal(0, 1)","normal+(0, 3)",0.511111111111111
"normal(0, 1)","normal+(0, 5)",0.338888888888889
"normal(0, 1)","normal+(0, 10)",0.605833333333333
"normal(0, 1.5)","normal+(0, 3)",0.488333333333333
"normal(0, 1.5)","normal+(0, 5)",0.596944444444444
"normal(0, 1.5)","normal+(0, 10)",0.474444444444444
"normal(0, 2)","normal+(0, 3)",0.535277777777778
"normal(0, 2)","normal+(0, 5)",0.4925
"normal(0, 2)","normal+(0, 10)",0.4075
"normal(0, 1)","normal+(0, 3)",0.406111111111111
"normal(0, 1)","normal+(0, 5)",0.4825
"normal(0, 1)","normal+(0, 10)",0.370555555555556
"normal(0, 1.5)","normal+(0, 3)",0.183333333333333
"normal(0, 1.5)","normal+(0, 5)",0.628611111111111
